Ship Draw,Lerp Draw,Turret Draw,Planets Draw,Ship Update,Lerp Update,turret Update,planets update
0.00297303,3.69831e-006,2.87646e-005,0.000689529,0.000156973,1.64369e-006,3.69831e-006,0
0.00280003,3.69831e-006,2.87646e-005,0.00068994,0.000272031,1.23277e-006,3.28739e-006,4.10923e-007
0.00281893,3.69831e-006,2.87646e-005,0.000691995,0.000385446,1.23277e-006,3.28739e-006,0
0.00282345,3.69831e-006,2.75319e-005,0.000691995,0.000359147,1.23277e-006,2.87646e-006,4.10923e-007
0.00277743,3.28739e-006,2.62991e-005,0.000670627,0.000271209,1.23277e-006,2.87646e-006,4.10923e-007
0.00279921,3.69831e-006,2.62991e-005,0.000650903,0.000272442,1.23277e-006,3.28739e-006,4.10923e-007
0.00292947,3.69831e-006,2.83537e-005,0.000691173,0.00015574,1.23277e-006,3.28739e-006,0
0.00291961,3.69831e-006,2.58882e-005,0.000669805,0.000148754,1.23277e-006,2.87646e-006,4.10923e-007
0.00277907,3.69831e-006,2.671e-005,0.000652957,0.000277784,1.23277e-006,2.87646e-006,4.10923e-007
0.00285304,3.69831e-006,2.62991e-005,0.000670216,0.000269977,1.23277e-006,3.28739e-006,4.10923e-007
0.00290728,3.69831e-006,2.671e-005,0.000664874,0.000147111,1.23277e-006,3.28739e-006,4.10923e-007
0.0028777,3.28739e-006,2.671e-005,0.000670216,0.000262991,1.23277e-006,2.87646e-006,4.10923e-007
0.00285468,3.28739e-006,2.62991e-005,0.000651724,0.000154918,1.64369e-006,3.69831e-006,0
0.0028966,3.69831e-006,2.83537e-005,0.000668161,0.000280661,1.64369e-006,3.7394e-005,0
0.00294837,3.69831e-006,3.2052e-005,0.000692406,0.000411334,1.23277e-006,3.28739e-006,0
0.00284852,4.10923e-006,3.2052e-005,0.000692406,0.00028025,1.23277e-006,3.28739e-006,4.10923e-007
0.00294262,3.69831e-006,3.28739e-005,0.000705144,0.000155329,1.23277e-006,3.28739e-006,4.10923e-007
0.00287318,3.69831e-006,3.16411e-005,0.000692406,0.000286003,1.23277e-006,3.28739e-006,0
